season_id,person_id,person_name,person_name_normalized,team_id,team_name,team_name_normalized,division,stage,rank,start_week,end_week,matches,wins,losses,draws,points,kills,deaths,differential,data_status,notes,source_urls
season_004,person_art_n_gaming,Art'n'Gaming,art n gaming,season_004_pyroars_of_the_carribean,Pyroars of the Carribean,pyroars of the carribean,Regular Season,full_season,10,,,22,9,13,0,26,87,112,-25,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_pokebazi,PokeBazi,pokebazi,season_004_schnittlauchs,Schnittlauchs,schnittlauchs,Regular Season,full_season,11,,,22,7,14,1,22,90,114,-24,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_crowdcontroller,CrowdController,crowdcontroller,season_004_variant_vulpix,Variant Vulpix,variant vulpix,Regular Season,full_season,12,,,22,6,16,0,18,78,113,-35,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_tabasco_tv,Tabasco TV,tabasco tv,season_004_insirnapes,Insirnapes,insirnapes,Liga 2,full_season,1,,,22,17,5,0,51,119,79,40,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,person_professor_n,Professor N,professor n,season_004_bending_manaphys,Bending Manaphys,bending manaphys,Liga 2,full_season,2,,,22,16,6,0,48,120,85,35,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,person_suishomaru,Suishomaru,suishomaru,season_004_crimson_sunrise,Crimson Sunrise,crimson sunrise,Liga 2,full_season,3,,,22,16,6,0,48,113,93,20,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,person_glebber,Glebber,glebber,season_004_energie_tobutz,Energie Tobutz,energie tobutz,Liga 2,full_season,4,,,22,14,8,0,42,109,86,23,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,person_bravebird,BraveBird,bravebird,season_004_talonflame_skyliners,Talonflame Skyliners,talonflame skyliners,Liga 2,full_season,5,,,22,13,9,0,39,116,103,13,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,person_barry_d_sin_of_speed,Barry D. Sin of Speed,barry d sin of speed,season_004_marvelous_speedsters,Marvelous Speedsters,marvelous speedsters,Liga 2,full_season,6,,,22,12,9,1,37,108,102,6,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,person_dauni_daunstar,Dauni,dauni daunstar,season_004_bloodrush_noivern,Bloodrush Noivern,bloodrush noivern,Liga 2,full_season,7,,,22,12,10,0,36,101,96,11,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
