season_id,division,stage,is_primary,rank,person_id,player_name,player_name_normalized,team_id,team_name,wins,losses,draws,points,kills,deaths,differential,data_status,source_urls
season_004,Regular Season,final_table,true,9,person_captaincrinch,CaptainCrinch,captaincrinch,season_004_suicide_squad,Suicide Squad,9,13,0,27,90,102,-12,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,10,person_art_n_gaming,Art'n'Gaming,art n gaming,season_004_pyroars_of_the_carribean,Pyroars of the Carribean,9,13,0,26,87,112,-25,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,11,person_pokebazi,PokeBazi,pokebazi,season_004_schnittlauchs,Schnittlauchs,7,14,1,22,90,114,-24,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,12,person_crowdcontroller,CrowdController,crowdcontroller,season_004_variant_vulpix,Variant Vulpix,6,16,0,18,78,113,-35,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Liga 2,final_table,true,1,person_tabasco_tv,Tabasco TV,tabasco tv,season_004_insirnapes,Insirnapes,17,5,0,51,119,79,40,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,2,person_professor_n,Professor N,professor n,season_004_bending_manaphys,Bending Manaphys,16,6,0,48,120,85,35,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,3,person_suishomaru,Suishomaru,suishomaru,season_004_crimson_sunrise,Crimson Sunrise,16,6,0,48,113,93,20,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,4,person_glebber,Glebber,glebber,season_004_energie_tobutz,Energie Tobutz,14,8,0,42,109,86,23,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,5,person_bravebird,BraveBird,bravebird,season_004_talonflame_skyliners,Talonflame Skyliners,13,9,0,39,116,103,13,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,6,person_barry_d_sin_of_speed,Barry D. Sin of Speed,barry d sin of speed,season_004_marvelous_speedsters,Marvelous Speedsters,12,9,1,37,108,102,6,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,7,person_dauni_daunstar,Dauni,dauni daunstar,season_004_bloodrush_noivern,Bloodrush Noivern,12,10,0,36,101,96,11,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,8,person_themiifii,TheMiiFii,themiifii,season_004_dreaded_dittos,Dreaded Dittos,11,11,0,33,92,98,-6,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,9,person_leinux,Leinux,leinux,season_004_meowseyside,Meowseyside,6,16,0,18,79,111,-32,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,10,person_scoutley,Scoutley,scoutley,season_004_penguin_squad,Penguin Squad,5,16,1,16,81,124,-42,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,11,person_blacklink,BlackLink,blacklink,season_004_silver_fang,Silver Fang,5,17,0,15,87,123,-36,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
season_004,Liga 2,final_table,true,12,person_asalakoren,Asalakoren,asalakoren,season_004_azumarines,Azumarines,4,18,0,12,90,113,-23,sheet_extracted,https://docs.google.com/spreadsheets/d/1iwPqphIOO1ID-4NV3sv5CrIsmpQF-saq1sNE9Sxo9oE/edit#gid=0
