
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impoleon,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pamomamo,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lumiflora,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arktilas,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lavados,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cresselia,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pampross,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irokex,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardevoir,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursaring,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eisenkrieger,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grypheldis,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laschoking,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metagross
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandfell
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hisui-Admurai
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piepi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eisenfalter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trombork
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polaross
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chillabell
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krarmor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knakrack
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keldeo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galar-Laschoking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier
