

,56,Pixi,von ,Bene,,,,,,,,,,,,,,,0,2,2,,4,3,"1,33"
,56,Raikou,von ,RobinVGC,,,0,,,0,2,1,0,0,,1,0,,,,,,4,8,"0,50"
,56,Illumise,von ,RobinVGC,,1,0,,0,,0,,,,2,,,,1,,,,4,5,"0,80"
,56,Pampross,von ,Nestfloh,,,0,,,,2,0,,,2,,,,,,,,4,4,"1,00"
,63,Ramoth,von ,Minetube,,,,,,,,,,,,,,,,0,3,,3,2,"1,50"
,63,Feelinara,von ,Raizor,,,,,,,,,,,,,,,3,,,,3,1,"3,00"
,63,Eisenhals,von ,Present,,,,,,,,,,,,,,,2,1,0,,3,3,"1,00"
,63,Mopex,von ,Present,,,0,0,,1,,1,,,,1,,,,,,,3,5,"0,60"
,63,Sandfell,von ,Dauni,,,,,,,,,,,,,,,3,,,,3,1,"3,00"
,63,Guardevoir,von ,Nestfloh,,,1,0,0,,,,,2,0,,0,0,,,,,3,7,"0,43"
,69,Traunfugil,von ,Minetube,,0,,,1,0,,,,,,,1,,,,,,2,3,"0,67"
,69,Turtok,von ,Raizor,,,0,,0,,,,,1,,1,,,,,0,,2,5,"0,40"
,69,Silvarro,von ,Raizor,,,0,0,,2,,0,,,0,0,0,,,,,,2,7,"0,29"
,69,Eisenkrieger,von ,Present,,,,,,,,,,,,,,,0,1,1,,2,3,"0,67"
,69,Mottineva,von ,Present,,,,,,,,2,,,,,,0,,,,,2,2,"1,00"
,69,Eisenrad,von ,Bene,,,,,,,,,,,,,,,,,2,,2,1,"2,00"
,69,Selfe,von ,Bene,,,,,,,,,,,,,,,,0,2,,2,2,"1,00"
,69,Aggrostella,von ,RobinVGC,,,,,,1,,1,,,0,,,,,,,,2,3,"0,67"
,69,Ogerpon-Wasser,von ,Nestfloh,,,,,,,,,,,,,,,2,,,,2,1,"2,00"
,69,Pamomamo,von ,Nestfloh,,0,,,0,0,,1,1,0,0,0,0,0,,,,,2,9,"0,22"
,69,Irokex,von ,Nestfloh,,,0,,,,0,,1,,0,,,1,,,,,2,5,"0,40"
,80,Elevoltek,von ,Minetube,,,,,,,,,,,,,,,,1,,,1,1,"1,00"
,80,Affiti,von ,Minetube,,,,,0,,,,,,,,1,,,,,,1,2,"0,50"
,80,Voltrean,von ,Raizor,,0,,1,,,0,,,,,,,0,,,,,1,3,"0,33"
,80,Zobiris,von ,Dauni,,,,,0,,0,,1,,0,,0,,,,,,1,5,"0,20"
,80,Ambidiffel,von ,Dauni,,,0,,,,0,,1,,0,,,,0,,,,1,5,"0,20"
,80,Tenterra,von ,Dauni,,,,,0,0,,,,,,,,1,,,,,1,3,"0,33"
,80,Myriador,von ,Dauni,,0,,,1,,,,,0,0,,,,,,,,1,3,"0,33"
,80,Voltolos,von ,Bene,,,,,,,,,,,,,,,1,,0,,1,2,"0,50"
,80,Gastrodon,von ,Bene,,,,,,,0,1,0,0,,,,0,,,0,,1,6,"0,17"
,80,Giflor,von ,Bene,,,,,,,,,,,,,,,,1,,,1,1,"1,00"
,80,Bronzong,von ,Bene,,,,,,0,,,0,,1,,0,,,,,,1,4,"0,25"
,80,Impoleon,von ,Nestfloh,,0,,,0,1,0,,0,0,,0,,,0,,,,1,7,"0,14"
,80,Alola-Sleimok,von ,Nestfloh,,,,,,,,,,,,,,,1,,,,1,1,"1,00"
,93,,von ,Minetube,,,,,,,,,,,,,,,,,,,0,0
,93,,von ,Minetube,,,,,,,,,,,,,,,,,,,0,0
,93,Servol-w,von ,Raizor,,,0,,0,,0,,0,0,0,,0,,,0,0,,0,9,"0,00"
,93,Fiaro,von ,Raizor,,,,,,,,,,,,,,,,0,,,0,1,"0,00"
,93,Alola-Raichu,von ,Raizor,,,,,,,,,,,,,,,,0,,,0,1,"0,00"
,93,,von ,Present,,,,,,,,,,,,,,,,,,,0,0
,93,,von ,Present,,,,,,,,,,,,,,,,,,,0,0
,93,Ogerpon,von ,Dauni,,,,,,,,,,,,,,,,,,,0,0
,93,Krarmor,von ,Dauni,,,,,,,,,,,,,,,0,,,,0,1,"0,00"
,93,Trombork,von ,Dauni,,,,,,,,,,,,,,,0,,,,0,1,"0,00"
,93,,von ,Dauni,,,,,,,,,,,,,,,,,,,0,0
,93,Gortrom,von ,RobinVGC,,,,,,,,,,,,,,,,,,,0,0
,93,Hisui-Viscogon,von ,RobinVGC,,,,,,,,,,,,,,,0,,,,0,1,"0,00"
