
,Killliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backel Gefackel Punkte
,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Sp 12,Sp 13,Kills Gesamt,Team,,Quote,,,,,,,,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Punkte Gesamt,Team
,,6,Lavados,von,Nestfloh,,GPL,,,0,,1,,0,4,,,,1,2,8,,Böller Brüder,"7,994","7,99403",,,,,,,,,Lavados,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,7,Irokex,von,Nestfloh,,GPL,,0,,,,0,,1,,0,,,1,2,,Böller Brüder,"1,995","1,99503",,,,,,,,,Irokex,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,8,Guardevoir,von,Nestfloh,,GPL,,1,0,0,,,,,2,0,,0,0,3,,Böller Brüder,"2,993","2,99303",,,,,,,,,Guardevoir,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,9,Pampross,von,Nestfloh,,GPL,,0,,,,2,0,,,2,,,,4,,Böller Brüder,"3,996","3,99604",,,,,,,,,Pampross,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,10,Ursaring,von,Nestfloh,,GPL,5,,0,,,,,,,,,1,,6,,Böller Brüder,"5,997","5,99704",,,,,,,,,Ursaring,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,11,Arktilas,von,Nestfloh,,GPL,0,4,1,0,2,,1,,2,,0,,,10,,Böller Brüder,"9,992","9,99205",,,,,,,,,Arktilas,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Eisenkrieger,von,OGDeniz96,,GPL,3,0,0,3,4,0,1,1,0,3,,0,1,16,,Squid Squad,"15,988","15,98801",,,,,,,,,Eisenkrieger,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,2,Eisenfalter,von,OGDeniz96,,GPL,0,0,1,,1,,1,,1,,1,,1,6,,Squid Squad,"5,992","5,99201",,,,,,,,,Eisenfalter,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,3,Laschoking,von,OGDeniz96,,GPL,,,0,0,1,0,0,,0,,0,4,,5,,Squid Squad,"4,992","4,99202",,,,,,,,,Laschoking,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,4,Metagross,von,OGDeniz96,,GPL,,,,0,0,1,0,5,1,1,1,,0,9,,Squid Squad,"8,991","8,99102",,,,,,,,,Metagross,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,5,Hisui-Admurai,von,OGDeniz96,,GPL,0,,,,,1,1,,,,0,3,0,5,,Squid Squad,"4,994","4,99402",,,,,,,,,Hisui-Admurai,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,6,Grypheldis,von,OGDeniz96,,GPL,1,1,1,,0,,0,,0,,,,,3,,Squid Squad,"2,994","2,99403",,,,,,,,,Grypheldis,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,7,Sandfell,von,OGDeniz96,,GPL,2,0,1,3,0,,,2,2,0,,,0,10,,Squid Squad,"9,991","9,99103",,,,,,,,,Sandfell,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,8,Polaross,von,OGDeniz96,,GPL,,2,2,2,,5,,,,2,0,0,1,14,,Squid Squad,"13,992","13,99203",,,,,,,,,Polaross,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,9,Piepi,von,OGDeniz96,,GPL,0,,,0,,0,,0,,1,0,0,,1,,Squid Squad,"0,993","0,99304",,,,,,,,,Piepi,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,10,Chillabell,von,OGDeniz96,,GPL,,0,,,,,,4,,,,1,,5,,Squid Squad,"4,997","4,99704",,,,,,,,,Chillabell,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,11,Trombork,von,OGDeniz96,,GPL,,,,,,,,0,,3,,,,3,,Squid Squad,"2,998","2,99805",,,,,,,,,Trombork,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Knakrack,von,Pokgalaxy,,GPL,0,1,2,2,0,1,5,1,0,,1,3,,16,,Tails of Mystery,"15,989","15,98901",,,,,,,,,Knakrack,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,2,Galar-Laschoking,von,Pokgalaxy,,GPL,3,1,1,0,1,,0,0,1,0,0,,,7,,Tails of Mystery,"6,99","6,99001",,,,,,,,,Galar-Laschoking,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,3,Krarmor,von,Pokgalaxy,,GPL,0,0,0,0,0,2,0,0,0,2,0,1,0,5,,Tails of Mystery,"4,987","4,98702",,,,,,,,,Krarmor,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,4,Keldeo,von,Pokgalaxy,,GPL,1,,1,,0,4,0,,,1,1,0,0,8,,Tails of Mystery,"7,991","7,99102",,,,,,,,,Keldeo,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,5,Snibunna,von,Pokgalaxy,,GPL,1,0,,,5,0,0,0,,,,0,3,9,,Tails of Mystery,"8,992","8,99202",,,,,,,,,Snibunna,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,6,Feelinara,von,Pokgalaxy,,GPL,,,,,,2,,,0,4,0,2,0,8,,Tails of Mystery,"7,994","7,99403",,,,,,,,,Feelinara,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,7,Relaxo,von,Pokgalaxy,,GPL,,1,,,,,,,,,,,0,1,,Tails of Mystery,"0,998","0,99803",,,,,,,,,Relaxo,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,8,Rotom-Heat,von,Pokgalaxy,,GPL,0,0,0,0,,1,1,0,,,,,3,5,,Tails of Mystery,"4,992","4,99203",,,,,,,,,Rotom-Heat,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,9,Horrerba,von,Pokgalaxy,,GPL,,,,0,0,,,,0,1,,0,,1,,Tails of Mystery,"0,995","0,99504",,,,,,,,,Horrerba,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,10,Wampitz,von,Pokgalaxy,,GPL,,,2,3,,,,9,1,0,2,,,17,,Tails of Mystery,"16,994","16,99404",,,,,,,,,Wampitz,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,11,Rameidon,von,Pokgalaxy,,GPL,,,,,,,,,,,,,,0,,Tails of Mystery,0,"0,00005",,,,,,,,,Rameidon,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Demeteros-Therian,von,Present,,GPL,2,,,,1,1,1,2,1,0,2,0,1,11,,Prekani,"10,99","10,99001",,,,,,,,,Demeteros-Therian,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,2,Dragoran,von,Present,,GPL,0,,0,,1,2,,,,,,1,0,4,,Prekani,"3,994","3,99401",,,,,,,,,Dragoran,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,3,Arkani,von,Present,,GPL,,1,2,0,,,,2,1,,,6,,12,,Prekani,"11,994","11,99402",,,,,,,,,Arkani,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,4,Rotom-Wash,von,Present,,GPL,0,,1,2,0,1,,2,0,1,1,,0,8,,Prekani,"7,99","7,99002",,,,,,,,,Rotom-Wash,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,5,Zytomega,von,Present,,GPL,0,0,,0,,,,,,1,,0,3,4,,Prekani,"3,994","3,99402",,,,,,,,,Zytomega,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,6,Beatori,von,Present,,GPL,,2,,0,1,0,0,0,2,,0,,,5,,Prekani,"4,992","4,99203",,,,,,,,,Beatori,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,7,Kobalium,von,Present,,GPL,0,,,5,,0,1,1,1,0,2,,,10,,Prekani,"9,992","9,99203",,,,,,,,,Kobalium,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
