,,,,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team,,YouTube
26,Arkani,,11,8,"0,73",,0,,0,1,2,1,,0,1,1,0,1,1,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
27,Kapu-Toro,,12,8,"0,67",1,0,0,0,0,1,1,1,0,4,0,0,,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne
28,Alola-Raichu,,4,7,"1,75",,,,,,,,2,,,1,1,3,,,Prekani,https://www.youtube.com/user/Present
28,Viscogon,,4,7,"1,75",,,,,,,,,3,,0,,1,3,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
30,Barrakiefa,,9,7,"0,78",,0,,0,1,1,2,1,0,2,,0,,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
30,Latias,,9,7,"0,78",,1,2,1,,1,0,0,,,0,,2,0,,Pillar Mons,https://www.youtube.com/user/RegiBang
32,Fuegro,,10,7,"0,70",,1,1,1,0,2,,1,0,0,0,,1,,,Prekani,https://www.youtube.com/user/Present
32,Kapu-Kime,,10,7,"0,70",0,,0,2,0,,0,,,2,0,1,2,0,,Pillar Mons,https://www.youtube.com/user/RegiBang
34,Azumarill,,12,7,"0,58",1,1,0,,0,2,1,0,1,0,0,,0,1,,Arktipico,https://www.youtube.com/user/Hydronic
35,Pixi,,7,6,"0,86",2,0,0,2,1,1,0,,,,,,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
36,Porygon-Z,,8,6,"0,75",1,,,1,2,0,,0,0,,,2,0,,,Arktipico,https://www.youtube.com/user/Hydronic
37,Metagross,,9,6,"0,67",0,,2,1,,,0,0,1,1,1,,,0,,Prekani,https://www.youtube.com/user/Present
38,Scherox,,13,6,"0,46",0,0,2,1,0,1,0,1,0,1,,0,0,0,,Elekids Club,https://www.youtube.com/user/ElektechN9ne
39,Smogmog,,3,5,"1,67",0,,,,4,1,,,,,,,,,,Pillar Mons,https://www.youtube.com/user/RegiBang
40,Cerapendra,,4,5,"1,25",,,1,1,2,,1,,,,,,,,,Pillar Mons,https://www.youtube.com/user/RegiBang
41,Silembrim,,5,5,"1,00",,,1,,0,1,,,,0,,3,,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
42,Kaguron,,6,5,"0,83",,,,,,,,0,1,0,,3,1,0,,Pillar Mons,https://www.youtube.com/user/RegiBang
43,Sumpex,,9,5,"0,56",0,,3,0,,,0,1,0,,,0,0,1,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
44,Laschoking,,14,5,"0,36",0,1,1,0,0,0,0,1,0,0,0,1,1,0,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
45,Krawumms,,3,4,"1,33",,,1,,3,0,,,,,,,,,,Prekani,https://www.youtube.com/user/Present
45,Tauros,,3,4,"1,33",1,,,,,1,,,,,,,,2,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
47,Voltolos-T,,5,4,"0,80",0,2,,,0,0,2,,,,,,,,,Prekani,https://www.youtube.com/user/Present
48,Elezard,,6,4,"0,67",,1,,,,0,,,1,1,1,,0,,,Pillar Mons,https://www.youtube.com/user/RegiBang
48,Selfe,,6,4,"0,67",,,0,1,1,0,,,,1,,1,,,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
50,Bronzong,,7,4,"0,57",,2,0,,0,,0,,,0,,1,,1,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
50,Donarion,,7,4,"0,57",,,,,,,,1,0,1,1,0,0,1,,Arktipico,https://www.youtube.com/user/Hydronic
50,Galar-Smogmog,,7,4,"0,57",,,,0,2,,0,0,0,,1,,1,,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
50,Gengar,,7,4,"0,57",0,1,0,,0,1,,,,,,,2,0,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
54,Durengard,,11,4,"0,36",0,1,0,,0,0,2,0,0,,,0,1,0,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
